id,surname,first_name,age,sex,marital_status,occupation,borough,birthplace,household_id,annual_wage_cents
768,Sullivan,Abraham,20,M,married,driver,Brooklyn,Ireland,258,42798
769,Sullivan,Rachel,21,F,single,typesetter,Brooklyn,Ireland,258,39115
770,Sullivan,Salvatore,26,M,married,engineer,Brooklyn,Ireland,258,94801
771,Sullivan,Boris,61,M,widowed,bookkeeper,Brooklyn,Ireland,258,74420
772,Sullivan,Otto,5,M,single,none,Brooklyn,Ireland,258,33540
773,Brown,Josef,47,M,married,typesetter,Brooklyn,New Jersey,259,43616
774,Brown,Heinrich,8,M,single,none,Brooklyn,New Jersey,259,37488
775,Brown,Angela,36,F,single,typesetter,Brooklyn,New Jersey,259,39103
776,Davis,Abraham,11,M,single,none,Manhattan,Ireland,260,36603
777,Davis,David,78,M,single,clerk,Manhattan,Ireland,260,43438
778,Davis,Esther,56,F,single,factory worker,Manhattan,Ireland,260,26311
779,Davis,Wilhelm,0,M,single,none,Manhattan,Ireland,260,21464
780,Friedman,Boris,0,M,single,none,Queens,Italy,261,25955
781,Friedman,Zofia,27,F,married,servant,Queens,Italy,261,19962
782,Friedman,Ruth,16,F,widowed,milliner,Queens,Italy,261,44153
783,Rossi,Thomas,7,M,single,none,Brooklyn,Russia,262,34003
784,Rossi,Olga,12,F,single,none,Brooklyn,Russia,262,32781
785,Rossi,Salvatore,13,M,single,nurse,Brooklyn,Russia,262,39094
786,Wilson,Thomas,13,M,single,none,Manhattan,Ireland,263,35884
787,Wilson,Rachel,77,F,single,driver,Manhattan,Ireland,263,38573
788,Stein,Joseph,48,M,single,typesetter,Brooklyn,New York,264,49955
789,Wilson,Zofia,39,F,married,baker,Manhattan,New York,265,44772
790,Wilson,Giuseppe,70,M,married,stevedore,Manhattan,New York,265,31135
791,Wilson,Ruth,36,F,single,merchant,Manhattan,New York,265,118883
792,Wilson,Esther,77,F,single,none,Manhattan,New York,265,35555
793,Wilson,James,13,M,single,none,Manhattan,New York,265,31069
794,Russo,Esther,49,F,married,shopkeeper,Brooklyn,Sweden,266,83425
795,Mueller,Isaac,14,M,single,typesetter,Manhattan,Germany,267,52528
796,Mueller,Ellen,66,F,single,teacher,Manhattan,Germany,267,54513
797,Mueller,Olga,36,F,single,baker,Manhattan,Germany,267,39840
798,Mueller,Michael,10,M,single,none,Manhattan,Germany,267,21788
799,Mueller,Boris,59,M,married,bookkeeper,Manhattan,Germany,267,61727
800,Silverman,Heinrich,25,M,single,grocer,Manhattan,Ireland,268,52379
801,Silverman,Giovanni,77,M,married,stevedore,Manhattan,Ireland,268,48076
802,Silverman,Daniel,65,M,married,milliner,Manhattan,Ireland,268,39395
803,Silverman,Karl,32,M,single,carpenter,Manhattan,Ireland,268,41334
804,McCarthy,Rosa,26,F,single,washerwoman,Manhattan,New Jersey,269,29711
805,McCarthy,Joseph,36,M,single,baker,Manhattan,New Jersey,269,34071
806,McCarthy,Zofia,26,F,single,bookkeeper,Manhattan,New Jersey,269,58835
807,Wagner,Boris,48,M,married,cobbler,Brooklyn,New York,270,35918
808,Wagner,Wilhelm,14,M,single,none,Brooklyn,New York,270,35218
809,Wagner,Antonio,17,M,single,clerk,Brooklyn,New York,270,40822
810,Wagner,Mary,12,F,single,grocer,Brooklyn,New York,270,43795
811,Wagner,Josef,54,M,widowed,teacher,Brooklyn,New York,270,55470
812,Esposito,Ellen,60,F,single,servant,Manhattan,New York,271,28054
813,Esposito,Rosa,64,F,married,milliner,Manhattan,New York,271,26147
814,Esposito,Wilhelm,50,M,single,tailor,Manhattan,New York,271,50144
815,Esposito,William,71,M,widowed,seamstress,Manhattan,New York,271,24358
816,Esposito,Rosa,33,F,single,baker,Manhattan,New York,271,42812
817,"O'Brien",Ruth,77,F,married,none,Manhattan,Ireland,272,32001
818,"O'Brien",Michael,39,M,married,clerk,Manhattan,Ireland,272,49415
819,"O'Brien",Thomas,3,M,single,none,Manhattan,Ireland,272,32345
820,Sullivan,Salvatore,0,M,single,none,Queens,Germany,273,28446
821,Sullivan,Bridget,29,F,married,typesetter,Queens,Germany,273,52029
822,Sullivan,Olga,35,F,married,seamstress,Queens,Germany,273,30408
823,Sullivan,Esther,25,F,married,tailor,Queens,Germany,273,36715
824,Sullivan,David,21,M,married,servant,Queens,Germany,273,21474
825,Cohen,Stanislaw,28,M,married,driver,Manhattan,Pennsylvania,274,34081
826,Callahan,Boris,7,M,single,none,Manhattan,Ireland,275,33890
827,Conti,William,9,M,single,none,Manhattan,Ireland,276,27493
828,Conti,Gertrud,17,F,married,machinist,Manhattan,Ireland,276,59007
829,Conti,Rachel,0,F,single,none,Manhattan,Ireland,276,36708
830,Conti,Marta,1,F,single,none,Manhattan,Ireland,276,26849
831,Marino,Stanislaw,37,M,single,driver,Brooklyn,France,277,43169
832,Marino,Josef,49,M,widowed,teacher,Brooklyn,France,277,63610
833,Marino,Margaret,64,F,married,baker,Brooklyn,France,277,41723
834,Marino,Marta,13,F,single,none,Brooklyn,France,277,36758
835,Goldberg,Josef,26,M,widowed,milliner,Brooklyn,England,278,27693
836,Goldberg,James,61,M,single,bookkeeper,Brooklyn,England,278,70234
837,Marino,Ellen,35,F,widowed,engineer,Manhattan,Ireland,279,97040
838,Roth,Leah,18,F,married,baker,Manhattan,Ireland,280,41331
839,Roth,Greta,72,F,single,butcher,Manhattan,Ireland,280,42031
840,Roth,Daniel,12,M,single,none,Manhattan,Ireland,280,39545
841,Murphy,Otto,27,M,single,grocer,Manhattan,Italy,281,53674
842,Murphy,Ellen,18,F,widowed,shopkeeper,Manhattan,Italy,281,81965
843,Murphy,Abraham,0,M,single,none,Manhattan,Italy,281,34645
844,Murphy,John,13,M,single,grocer,Manhattan,Italy,281,41605
845,Murphy,Greta,69,F,single,milliner,Manhattan,Italy,281,34505
846,Brown,Bridget,3,F,single,none,Manhattan,New York,282,31367
847,Brown,Salvatore,5,M,single,none,Manhattan,New York,282,20201
848,Lewandowski,Luigi,65,M,married,bookkeeper,Brooklyn,Pennsylvania,283,65144
849,Lewandowski,Elizabeth,17,F,single,none,Brooklyn,Pennsylvania,283,22229
850,Lewandowski,Abraham,3,M,single,none,Brooklyn,Pennsylvania,283,22825
851,Lewandowski,Anna,24,F,widowed,factory worker,Brooklyn,Pennsylvania,283,36125
852,Lewandowski,Heinrich,26,M,single,porter,Brooklyn,Pennsylvania,283,42587
853,Silverman,Isaac,36,M,married,machinist,Manhattan,Russia,284,47699
854,Lewandowski,Rebecca,3,F,single,none,Brooklyn,Ireland,285,35475
855,Lewandowski,Esther,6,F,single,none,Brooklyn,Ireland,285,21850
856,Lewandowski,Otto,19,M,single,servant,Brooklyn,Ireland,285,21132
857,Ivanov,Stanislaw,61,M,widowed,cobbler,Brooklyn,Italy,286,30535
858,Ivanov,Karl,8,M,single,none,Brooklyn,Italy,286,28985
859,Ivanov,Maria,0,F,single,none,Brooklyn,Italy,286,23642
860,Roth,Luigi,43,M,single,tailor,Brooklyn,Italy,287,46626
861,Roth,Margaret,0,F,single,none,Brooklyn,Italy,287,22649
862,Roth,Rebecca,0,F,single,none,Brooklyn,Italy,287,28829
863,Roth,Samuel,0,M,single,none,Brooklyn,Italy,287,35308
864,Roth,Hilda,51,F,married,engineer,Brooklyn,Italy,287,89678
865,Andersen,Olga,2,F,single,none,Manhattan,Italy,288,20653
866,Wojcik,Esther,28,F,single,grocer,Manhattan,Ireland,289,51924
867,Wojcik,David,10,M,single,none,Manhattan,Ireland,289,39785
868,Wojcik,Marta,18,F,single,carpenter,Manhattan,Ireland,289,53679
869,Wojcik,Rachel,76,F,widowed,engineer,Manhattan,Ireland,289,99290
870,Wojcik,Patrick,26,M,married,baker,Manhattan,Ireland,289,48603
871,Ivanov,William,17,M,married,teacher,Manhattan,Germany,290,64524
872,Ivanov,Bridget,77,F,divorced,baker,Manhattan,Germany,290,42230
873,Ivanov,Sarah,41,F,married,milliner,Manhattan,Germany,290,25472
874,Ivanov,Wilhelm,49,M,widowed,nurse,Manhattan,Germany,290,46099
875,Johnson,Antonio,38,M,single,engineer,Queens,New York,291,103077
876,Esposito,Joseph,49,M,single,nurse,Manhattan,New York,292,35002
877,Kelly,Abraham,57,M,married,laborer,Queens,New York,293,40201
878,Kelly,Heinrich,8,M,single,none,Queens,New York,293,24218
879,Kelly,Margaret,59,F,married,merchant,Queens,New York,293,115604
880,Kelly,Rachel,15,F,single,none,Queens,New York,293,23224
881,Goldberg,Rebecca,6,F,single,none,Manhattan,New York,294,21360
882,Kowalski,Karl,15,M,single,none,Manhattan,Ireland,295,27858
883,Marino,David,67,M,married,teacher,Manhattan,Russia,296,50119
884,Marino,Olga,10,F,single,none,Manhattan,Russia,296,39877
885,Marino,Hilda,9,F,single,none,Manhattan,Russia,296,20685
886,McCarthy,Hilda,29,F,married,bookkeeper,Bronx,Germany,297,62473
887,McCarthy,Hilda,64,F,married,machinist,Bronx,Germany,297,53009
888,McCarthy,Angela,71,F,married,none,Bronx,Germany,297,21239
889,McCarthy,Michael,9,M,single,none,Bronx,Germany,297,25146
890,McCarthy,Gertrud,2,F,single,none,Bronx,Germany,297,37115
891,Petrov,Giovanni,0,M,single,none,Manhattan,New York,298,25520
892,Petrov,Hilda,3,F,single,none,Manhattan,New York,298,20271
893,Petrov,Sarah,18,F,single,nurse,Manhattan,New York,298,53827
894,Petrov,Wilhelm,45,M,single,engineer,Manhattan,New York,298,85341
895,Goldberg,Greta,73,F,married,stevedore,Manhattan,Poland,299,39777
896,Walsh,Friedrich,7,M,single,none,Manhattan,Italy,300,21836
897,Fischer,Greta,22,F,widowed,bookkeeper,Manhattan,New York,301,73915
898,Levy,Karl,1,M,single,none,Brooklyn,New York,302,31852
899,Levy,Boris,21,M,single,typesetter,Brooklyn,New York,302,50564
900,Levy,Rebecca,5,F,single,none,Brooklyn,New York,302,37606
901,Sullivan,Daniel,4,M,single,none,Manhattan,Italy,303,38558
902,Sullivan,William,68,M,married,cobbler,Manhattan,Italy,303,28878
903,Sullivan,Joseph,31,M,married,clerk,Manhattan,Italy,303,46587
904,Sullivan,David,38,M,single,milliner,Manhattan,Italy,303,41036
905,Sullivan,Heinrich,14,M,single,porter,Manhattan,Italy,303,35257
906,Hoffmann,Karl,1,M,single,none,Manhattan,New York,304,38061
907,Hoffmann,Abraham,0,M,single,none,Manhattan,New York,304,28731
908,Hoffmann,Mary,59,F,married,factory worker,Manhattan,New York,304,33908
909,Hoffmann,Abraham,60,M,married,servant,Manhattan,New York,304,13597
910,Hoffmann,Luigi,3,M,single,none,Manhattan,New York,304,36221
911,Murphy,Rachel,20,F,married,cobbler,Staten Island,New York,305,45783
912,Murphy,Esther,4,F,single,none,Staten Island,New York,305,31088
913,Murphy,Joseph,21,M,single,carpenter,Staten Island,New York,305,52034
914,Murphy,Isaac,20,M,married,engineer,Staten Island,New York,305,87898
915,Johnson,Bridget,10,F,single,none,Manhattan,Ireland,306,27161
916,Schmidt,Marta,20,F,widowed,washerwoman,Manhattan,Germany,307,33241
917,Roth,Margaret,4,F,single,none,Manhattan,Poland,308,38003
918,Roth,Anna,16,F,single,teacher,Manhattan,Poland,308,62139
919,Roth,Giovanni,15,M,single,nurse,Manhattan,Poland,308,50486
920,Roth,Daniel,24,M,single,merchant,Manhattan,Poland,308,115510
921,Andersen,Teresa,69,F,widowed,bookkeeper,Manhattan,New York,309,66136
922,Andersen,Rachel,4,F,single,none,Manhattan,New York,309,26649
923,Andersen,Friedrich,78,M,married,none,Manhattan,New York,309,35917
924,Andersen,Anna,47,F,widowed,butcher,Manhattan,New York,309,46392
925,Wagner,Rebecca,10,F,single,none,Manhattan,New York,310,27061
926,Ivanov,Abraham,51,M,single,milliner,Brooklyn,Ireland,311,26772
927,Ivanov,Isaac,67,M,married,tailor,Brooklyn,Ireland,311,36679
928,Kelly,Salvatore,23,M,single,teacher,Manhattan,Massachusetts,312,53451
929,Kelly,Patrick,23,M,married,machinist,Manhattan,Massachusetts,312,47732
930,Klein,Rebecca,14,F,single,shopkeeper,Manhattan,New York,313,68335
931,Klein,Olga,2,F,single,none,Manhattan,New York,313,28989
932,Klein,Sarah,66,F,married,carpenter,Manhattan,New York,313,47256
933,Klein,Sarah,47,F,married,grocer,Manhattan,New York,313,48162
934,Klein,Leah,7,F,single,none,Manhattan,New York,313,20239
935,Goldberg,Abraham,57,M,married,merchant,Manhattan,New York,314,122380
936,Goldberg,William,23,M,single,cobbler,Manhattan,New York,314,34242
937,Goldberg,Michael,20,M,single,porter,Manhattan,New York,314,26535
938,Goldberg,Wilhelm,76,M,married,clerk,Manhattan,New York,314,48780
939,Goldberg,Isaac,24,M,married,baker,Manhattan,New York,314,35673
940,Silverman,Michael,46,M,widowed,nurse,Brooklyn,Italy,315,44016
941,Silverman,Sarah,0,F,single,none,Brooklyn,Italy,315,38569
942,"O'Brien",Gertrud,9,F,single,none,Manhattan,Russia,316,37812
943,"O'Brien",Esther,19,F,married,laborer,Manhattan,Russia,316,31039
944,"O'Brien",Patrick,24,M,married,laborer,Manhattan,Russia,316,22339
945,Goldberg,Elizabeth,42,F,single,typesetter,Manhattan,Italy,317,56403
946,Goldberg,Elizabeth,73,F,divorced,milliner,Manhattan,Italy,317,25829
947,Goldberg,Thomas,75,M,single,shopkeeper,Manhattan,Italy,317,84820
948,Goldberg,Daniel,49,M,widowed,seamstress,Manhattan,Italy,317,37124
949,Goldberg,Wilhelm,25,M,married,servant,Manhattan,Italy,317,26456
950,McCarthy,Marta,9,F,single,none,Manhattan,England,318,22452
951,McCarthy,Boris,32,M,single,butcher,Manhattan,England,318,37774
952,McCarthy,Abraham,54,M,married,laborer,Manhattan,England,318,32930
953,McCarthy,John,52,M,married,carpenter,Manhattan,England,318,40666
954,McCarthy,Isaac,27,M,married,milliner,Manhattan,England,318,34305
955,Lewandowski,Joseph,32,M,married,cobbler,Manhattan,Germany,319,31430
956,Lewandowski,Olga,14,F,single,none,Manhattan,Germany,319,31753
957,Lewandowski,Rebecca,10,F,single,none,Manhattan,Germany,319,29627
958,Lewandowski,Anna,61,F,single,teacher,Manhattan,Germany,319,60738
959,Lewandowski,Boris,57,M,single,milliner,Manhattan,Germany,319,30871
960,Rossi,Friedrich,66,M,single,clerk,Bronx,New Jersey,320,55439
961,Rossi,Salvatore,0,M,single,none,Bronx,New Jersey,320,36547
962,Rossi,Margaret,14,F,single,none,Bronx,New Jersey,320,31398
963,Rossi,Friedrich,7,M,single,none,Bronx,New Jersey,320,20839
964,Klein,Patrick,59,M,single,teacher,Brooklyn,Germany,321,63473
965,Klein,Friedrich,5,M,single,none,Brooklyn,Germany,321,26661
966,Klein,Teresa,10,F,single,none,Brooklyn,Germany,321,39059
967,Klein,Rebecca,73,F,married,carpenter,Brooklyn,Germany,321,46671
968,Katz,Greta,76,F,single,factory worker,Brooklyn,New York,322,28231
969,Katz,Rosa,71,F,single,shopkeeper,Brooklyn,New York,322,77847
970,Katz,Rosa,79,F,single,tailor,Brooklyn,New York,322,50869
971,Katz,Abraham,0,M,single,none,Brooklyn,New York,322,33677
972,Katz,Bridget,65,F,married,tailor,Brooklyn,New York,322,36459
973,Levy,Esther,37,F,widowed,teacher,Manhattan,Germany,323,65582
974,Levy,Isaac,28,M,single,nurse,Manhattan,Germany,323,54803
975,Levy,Giovanni,44,M,married,servant,Manhattan,Germany,323,27574
976,Miller,Ellen,46,F,married,engineer,Manhattan,Ireland,324,85525
977,Miller,Mary,45,F,widowed,servant,Manhattan,Ireland,324,26033
978,Miller,James,43,M,single,tailor,Manhattan,Ireland,324,51872
979,Miller,Heinrich,8,M,single,none,Manhattan,Ireland,324,31690
980,Wilson,Maria,78,F,married,servant,Manhattan,Ireland,325,18779
981,Wilson,Olga,0,F,single,none,Manhattan,Ireland,325,23755
982,Wilson,Maria,0,F,single,none,Manhattan,Ireland,325,37722
983,Wilson,Sarah,15,F,single,factory worker,Manhattan,Ireland,325,31121
984,Wilson,Daniel,1,M,single,none,Manhattan,Ireland,325,30527
985,Petrov,Luigi,6,M,single,none,Brooklyn,Russia,326,20841
986,Petrov,Angela,43,F,single,laborer,Brooklyn,Russia,326,28819
987,Petrov,Wilhelm,16,M,single,cobbler,Brooklyn,Russia,326,32846
988,Petrov,Rebecca,37,F,single,machinist,Brooklyn,Russia,326,53733
989,McCarthy,Rachel,10,F,single,none,Queens,Germany,327,23271
990,McCarthy,Heinrich,35,M,widowed,baker,Queens,Germany,327,47066
991,Jones,Greta,18,F,single,butcher,Brooklyn,Germany,328,51550
992,Jones,Esther,24,F,married,driver,Brooklyn,Germany,328,27405
993,Jones,Hilda,4,F,single,none,Brooklyn,Germany,328,36166
994,Ricci,Ruth,0,F,single,none,Brooklyn,Germany,329,24417
995,Hoffmann,Patrick,47,M,married,none,Brooklyn,New York,330,23657
996,Hoffmann,Rosa,25,F,single,shopkeeper,Brooklyn,New York,330,81058
997,Hoffmann,Rachel,17,F,married,carpenter,Brooklyn,New York,330,45518
998,Hoffmann,Luigi,63,M,widowed,clerk,Brooklyn,New York,330,55778
999,Hoffmann,Michael,2,M,single,none,Brooklyn,New York,330,37320
1000,"O'Brien",Jacob,0,M,single,none,Manhattan,New York,331,27207
1001,Russo,Gertrud,45,F,single,baker,Manhattan,Russia,332,41209
1002,Russo,Ellen,0,F,single,none,Manhattan,Russia,332,20533
1003,Brown,Isaac,46,M,married,washerwoman,Brooklyn,Russia,333,32395
1004,Brown,Wilhelm,14,M,single,none,Brooklyn,Russia,333,25027
1005,Brown,Antonio,65,M,single,engineer,Brooklyn,Russia,333,96894
1006,Brown,Michael,44,M,single,carpenter,Brooklyn,Russia,333,49931
1007,Wilson,Thomas,74,M,single,driver,Brooklyn,Germany,334,43599
1008,Wilson,Leah,0,F,single,none,Brooklyn,Germany,334,24501
1009,Wilson,Giovanni,25,M,widowed,laborer,Brooklyn,Germany,334,35261
1010,Wilson,John,5,M,single,none,Brooklyn,Germany,334,20492
1011,Wilson,Catherine,12,F,single,none,Brooklyn,Germany,334,32098
1012,Stein,Jacob,25,M,married,grocer,Manhattan,Italy,335,49608
1013,Smith,Otto,3,M,single,none,Manhattan,New York,336,28659
1014,Brown,Maria,21,F,single,teacher,Manhattan,Ireland,337,69660
1015,Brown,Bridget,1,F,single,none,Manhattan,Ireland,337,23243
1016,Brown,Ellen,16,F,single,engineer,Manhattan,Ireland,337,89697
1017,Brown,Michael,14,M,single,none,Manhattan,Ireland,337,28985
1018,Brown,Ruth,28,F,single,nurse,Manhattan,Ireland,337,54557
1019,Roth,Mary,64,F,widowed,butcher,Manhattan,Germany,338,36164
1020,Roth,Esther,74,F,single,teacher,Manhattan,Germany,338,65937
1021,Johnson,Margaret,73,F,married,clerk,Manhattan,Austria-Hungary,339,57032
1022,Johnson,Gertrud,69,F,single,carpenter,Manhattan,Austria-Hungary,339,52845
1023,Johnson,Angela,40,F,married,driver,Manhattan,Austria-Hungary,339,38351
1024,Ricci,Daniel,27,M,married,driver,Brooklyn,Germany,340,39206
1025,Ricci,Luigi,6,M,single,none,Brooklyn,Germany,340,26950
1026,Ricci,Jacob,56,M,married,cobbler,Brooklyn,Germany,340,37075
1027,Ricci,Stanislaw,69,M,married,engineer,Brooklyn,Germany,340,86163
1028,Ricci,Hilda,16,F,single,butcher,Brooklyn,Germany,340,49517
1029,Becker,Antonio,50,M,single,washerwoman,Manhattan,Ireland,341,21705
1030,Becker,Friedrich,19,M,single,butcher,Manhattan,Ireland,341,50651
1031,Becker,Isaac,6,M,single,none,Manhattan,Ireland,341,32785
1032,Becker,Teresa,69,F,married,butcher,Manhattan,Ireland,341,34951
1033,Wilson,John,68,M,single,butcher,Manhattan,Germany,342,33164
1034,Wilson,Rosa,39,F,married,washerwoman,Manhattan,Germany,342,21362
1035,Wilson,Ruth,18,F,married,milliner,Manhattan,Germany,342,38387
1036,Wilson,Zofia,37,F,married,cobbler,Manhattan,Germany,342,36360
1037,Kelly,Wilhelm,51,M,single,grocer,Manhattan,Sweden,343,50647
1038,Kelly,Thomas,9,M,single,none,Manhattan,Sweden,343,26765
1039,Kelly,Giovanni,8,M,single,none,Manhattan,Sweden,343,30075
1040,Kelly,Gertrud,1,F,single,none,Manhattan,Sweden,343,36123
1041,Kelly,Ruth,1,F,single,none,Manhattan,Sweden,343,31595
1042,Weber,Leah,42,F,married,shopkeeper,Bronx,Ireland,344,82448
1043,Weber,John,19,M,single,seamstress,Bronx,Ireland,344,36367
1044,Ferrari,Anna,69,F,widowed,seamstress,Manhattan,Massachusetts,345,19409
1045,Lewandowski,Ellen,22,F,married,stevedore,Manhattan,New York,346,41028
1046,Lewandowski,Angela,42,F,married,bookkeeper,Manhattan,New York,346,55122
1047,Lewandowski,Michael,1,M,single,none,Manhattan,New York,346,26896
1048,Lewandowski,Esther,4,F,single,none,Manhattan,New York,346,28899
1049,Lewandowski,John,44,M,single,milliner,Manhattan,New York,346,38051
1050,Stein,Teresa,0,F,single,none,Manhattan,Ireland,347,37838
1051,Stein,Sarah,22,F,single,carpenter,Manhattan,Ireland,347,40427
1052,Stein,Karl,2,M,single,none,Manhattan,Ireland,347,39689
1053,Lewandowski,Anna,0,F,single,none,Manhattan,New Jersey,348,24068
1054,Lewandowski,Marta,42,F,married,teacher,Manhattan,New Jersey,348,57930
1055,Lewandowski,John,16,M,widowed,laborer,Manhattan,New Jersey,348,40258
1056,Wilson,Ellen,11,F,single,none,Manhattan,New York,349,25732
1057,Wilson,Jacob,35,M,single,milliner,Manhattan,New York,349,42918
1058,Wilson,Friedrich,3,M,single,none,Manhattan,New York,349,27572
1059,Becker,Olga,35,F,married,typesetter,Brooklyn,Ireland,350,49285
1060,Becker,Anna,12,F,single,none,Brooklyn,Ireland,350,31991
1061,Becker,Otto,14,M,single,none,Brooklyn,Ireland,350,39579
1062,Becker,Ruth,67,F,widowed,shopkeeper,Brooklyn,Ireland,350,82402
1063,Becker,Heinrich,35,M,single,servant,Brooklyn,Ireland,350,16381
1064,Johnson,Hilda,0,F,single,none,Manhattan,Germany,351,38875
1065,Johnson,Josef,23,M,single,bookkeeper,Manhattan,Germany,351,62994
1066,Johnson,Isaac,12,M,single,porter,Manhattan,Germany,351,41552
1067,Johnson,Giovanni,10,M,single,none,Manhattan,Germany,351,39992
1068,Novak,Stanislaw,0,M,single,none,Manhattan,New York,352,33332
1069,Novak,Maria,13,F,single,bookkeeper,Manhattan,New York,352,56132
1070,Novak,Luigi,37,M,single,typesetter,Manhattan,New York,352,49656
1071,Novak,Teresa,18,F,single,shopkeeper,Manhattan,New York,352,67895
1072,Novak,Elizabeth,7,F,single,none,Manhattan,New York,352,23678
1073,Hoffmann,Catherine,0,F,single,none,Manhattan,Massachusetts,353,35845
1074,Hoffmann,Elizabeth,4,F,single,none,Manhattan,Massachusetts,353,31948
1075,Hoffmann,Marta,1,F,single,none,Manhattan,Massachusetts,353,32642
1076,Hoffmann,Heinrich,28,M,single,shopkeeper,Manhattan,Massachusetts,353,71378
1077,Hoffmann,Gertrud,41,F,single,teacher,Manhattan,Massachusetts,353,50480
1078,Novak,Abraham,2,M,single,none,Manhattan,Germany,354,30956
1079,Novak,Mary,2,F,single,none,Manhattan,Germany,354,38376
1080,Wojcik,Mary,50,F,married,typesetter,Manhattan,New York,355,39097
1081,Wojcik,Mary,17,F,widowed,clerk,Manhattan,New York,355,40193
1082,Wojcik,Wilhelm,45,M,married,seamstress,Manhattan,New York,355,20516
1083,Russo,Josef,22,M,single,machinist,Manhattan,New York,356,61598
1084,Russo,Abraham,50,M,married,merchant,Manhattan,New York,356,116641
1085,Russo,Sarah,57,F,married,shopkeeper,Manhattan,New York,356,74349
1086,Russo,Esther,37,F,single,porter,Manhattan,New York,356,38967
1087,Kowalski,Samuel,64,M,single,merchant,Queens,New York,357,115061
1088,Kowalski,Sarah,59,F,married,baker,Queens,New York,357,36869
1089,Kowalski,Ellen,24,F,single,washerwoman,Queens,New York,357,24922
1090,Kowalski,Margaret,61,F,single,nurse,Queens,New York,357,36214
1091,Johansson,Marta,55,F,single,engineer,Brooklyn,New York,358,95758
1092,Johansson,Marta,13,F,single,driver,Brooklyn,New York,358,35965
1093,Katz,Rebecca,45,F,married,tailor,Brooklyn,Italy,359,41226
1094,Katz,Boris,5,M,single,none,Brooklyn,Italy,359,24778
1095,Katz,Ellen,2,F,single,none,Brooklyn,Italy,359,21989
1096,Williams,Daniel,6,M,single,none,Manhattan,New York,360,21512
1097,Williams,Olga,44,F,married,bookkeeper,Manhattan,New York,360,68366
1098,Williams,Antonio,27,M,married,typesetter,Manhattan,New York,360,42789
1099,Williams,Greta,58,F,married,nurse,Manhattan,New York,360,53706
1100,Williams,Giuseppe,46,M,divorced,merchant,Manhattan,New York,360,125649
1101,Sullivan,Boris,64,M,single,washerwoman,Brooklyn,Germany,361,19343
1102,Becker,Anna,32,F,single,machinist,Manhattan,New Jersey,362,52170
1103,Becker,Josef,1,M,single,none,Manhattan,New Jersey,362,29327
1104,Becker,Mary,26,F,single,teacher,Manhattan,New Jersey,362,69324
1105,Brown,Jacob,48,M,married,grocer,Manhattan,Ireland,363,50213
1106,Brown,Elizabeth,26,F,married,butcher,Manhattan,Ireland,363,34999
1107,Brown,Sarah,76,F,single,washerwoman,Manhattan,Ireland,363,29739
1108,Friedman,Jacob,21,M,married,teacher,Brooklyn,New York,364,55210
1109,Friedman,Esther,53,F,married,tailor,Brooklyn,New York,364,52890
1110,Friedman,Salvatore,39,M,single,bookkeeper,Brooklyn,New York,364,62400
1111,Friedman,Patrick,45,M,married,driver,Brooklyn,New York,364,30727
1112,Johansson,Elizabeth,72,F,married,carpenter,Manhattan,Poland,365,45437
1113,Johansson,John,53,M,married,baker,Manhattan,Poland,365,43235
1114,Johansson,Leah,45,F,single,merchant,Manhattan,Poland,365,134134
1115,Kowalski,Maria,49,F,single,engineer,Manhattan,New York,366,99956
1116,Kowalski,Greta,0,F,single,none,Manhattan,New York,366,32420
1117,Kowalski,Gertrud,6,F,single,none,Manhattan,New York,366,31459
1118,Ryan,Sarah,11,F,single,none,Manhattan,New York,367,38257
1119,Ryan,Margaret,77,F,single,clerk,Manhattan,New York,367,41179
1120,Silverman,Patrick,28,M,single,typesetter,Brooklyn,New York,368,41493
1121,Silverman,Sarah,21,F,single,tailor,Brooklyn,New York,368,34866
1122,Wagner,Wilhelm,47,M,single,engineer,Manhattan,England,369,87068
1123,Wagner,Elizabeth,49,F,married,bookkeeper,Manhattan,England,369,74516
1124,Klein,Margaret,47,F,married,merchant,Manhattan,New York,370,133454
1125,Klein,Joseph,3,M,single,none,Manhattan,New York,370,29640
1126,Klein,James,60,M,single,washerwoman,Manhattan,New York,370,22642
1127,Klein,Giovanni,63,M,widowed,porter,Manhattan,New York,370,38007
1128,Klein,Luigi,26,M,single,butcher,Manhattan,New York,370,34983
1129,Katz,William,15,M,single,none,Manhattan,New York,371,31432
1130,Sullivan,Angela,25,F,divorced,nurse,Queens,Ireland,372,36443
1131,Esposito,Isaac,29,M,married,baker,Manhattan,New York,373,43555
1132,Esposito,Thomas,4,M,single,none,Manhattan,New York,373,33530
1133,Esposito,Mary,4,F,single,none,Manhattan,New York,373,27111
1134,Esposito,Mary,27,F,single,butcher,Manhattan,New York,373,39773
1135,Esposito,Salvatore,58,M,single,clerk,Manhattan,New York,373,41544
1136,Jones,Rebecca,50,F,married,seamstress,Manhattan,Ireland,374,27887
1137,Becker,Abraham,24,M,single,clerk,Manhattan,Ireland,375,40198
1138,Becker,Isaac,2,M,single,none,Manhattan,Ireland,375,25265
1139,Becker,Greta,66,F,married,seamstress,Manhattan,Ireland,375,27281
1140,Becker,Rosa,67,F,married,merchant,Manhattan,Ireland,375,116801
1141,Becker,Daniel,12,M,single,porter,Manhattan,Ireland,375,27461
